iter	Passed	Remaining
860	10959	1769
861	10969	1756
862	10979	1742
863	10989	1729
864	11000	1716
865	11010	1703
866	11021	1690
867	11031	1677
868	11039	1664
869	11049	1651
870	11059	1638
871	11070	1624
872	11079	1611
873	11091	1598
874	11101	1585
875	11111	1572
876	11122	1559
877	11132	1546
878	11142	1533
879	11153	1520
880	11164	1508
881	11174	1495
882	11184	1481
883	11195	1469
884	11206	1456
885	11216	1443
886	11225	1430
887	11236	1417
888	11246	1404
889	11255	1391
890	11265	1378
891	11274	1365
892	11284	1352
893	11295	1339
894	11305	1326
895	11316	1313
896	11325	1300
897	11336	1287
898	11346	1274
899	11356	1261
900	11366	1248
901	11376	1236
902	11387	1223
903	11397	1210
904	11407	1197
905	11418	1184
906	11428	1171
907	11439	1159
908	11450	1146
909	11461	1133
910	11470	1120
911	11481	1107
912	11492	1095
913	11501	1082
914	11510	1069
915	11520	1056
916	11530	1043
917	11539	1030
918	11549	1017
919	11559	1005
920	11571	992
921	11581	979
922	11591	966
923	11601	954
924	11612	941
925	11622	928
926	11633	916
927	11644	903
928	11655	890
929	11665	878
930	11676	865
931	11687	852
932	11697	840
933	11710	827
934	11721	814
935	11732	802
936	11742	789
937	11753	776
938	11763	764
939	11772	751
940	11783	738
941	11794	726
942	11805	713
943	11814	700
944	11825	688
945	11836	675
946	11846	662
947	11856	650
948	11866	637
949	11876	625
950	11887	612
951	11896	599
952	11905	587
953	11915	574
954	11925	561
955	11935	549
956	11944	536
957	11954	524
958	11964	511
959	11973	498
960	11983	486
961	11992	473
962	12003	461
963	12013	448
964	12022	436
965	12032	423
966	12040	410
967	12050	398
968	12060	385
969	12070	373
970	12079	360
971	12088	348
972	12097	335
973	12111	323
974	12120	310
975	12129	298
976	12140	285
977	12151	273
978	12162	260
979	12171	248
980	12182	235
981	12192	223
982	12203	211
983	12213	198
984	12223	186
985	12232	173
986	12242	161
987	12252	148
988	12262	136
989	12272	123
990	12282	111
991	12291	99
992	12301	86
993	12311	74
994	12320	61
995	12330	49
996	12344	37
997	12354	24
998	12364	12
999	12375	0
